600,60,0.1,-9.06
600,60,0.2,2.27
600,60,0.3,9.91
600,60,0.4,17.22
600,60,0.5,36.97
600,120,0.1,0.35
600,120,0.2,20.54
600,120,0.3,24.08
600,120,0.4,52.72
600,120,0.5,22.47
600,150,0.1,1.53
600,150,0.2,25.42
600,150,0.3,33.67
600,150,0.4,66.32
600,150,0.5,87.44
600,200,0.1,11.49
600,200,0.2,32.42
600,200,0.3,54.36
600,200,0.4,77.30
600,200,0.5,100.50
900,60,0.1,-9.40
900,60,0.2,-0.82
900,60,0.3,4.90
900,60,0.4,11.58
900,60,0.5,20.50
900,120,0.1,-5.77
900,120,0.2,6.74
900,120,0.3,17.87
900,120,0.4,35.10
900,120,0.5,49.68
900,150,0.1,-1.56
900,150,0.2,12.18
900,150,0.3,25.63
900,150,0.4,43.45
900,150,0.5,57.94
900,200,0.1,0.10
900,200,0.2,19.10
900,200,0.3,37.45
900,200,0.4,56.69
900,200,0.5,74.52
1200,60,0.1,-15.92
1200,60,0.2,-10.34
1200,60,0.3,-5.26
1200,60,0.4,1.40
1200,60,0.5,16.43
1200,120,0.1,-10.17
1200,120,0.2,0.79
1200,120,0.3,9.12
1200,120,0.4,21.74
1200,120,0.5,35.18
1200,150,0.1,-5.90
1200,150,0.2,8.47
1200,150,0.3,17.82
1200,150,0.4,30.04
1200,150,0.5,45.66
1200,200,0.1,-2.52
1200,200,0.2,10.21
1200,200,0.3,20.28
1200,200,0.4,36.82
1200,200,0.5,8.47
